# CREATED BY GENE DIAGNOSTICS TOOL on Wed Jul 11 15:25:42 2018
# diag: zprofile, run(s): act, time window: 0-1708.4394(316 steps), species: ions
# original data path: /r/c/cmor/IFERC/W7Xstcs025/ITGa/scanomn0omt1/
# normalization: L_ref=5.508m
#
# variable A = phi
#  z/qR       kx=0,ky=3.
 -3.1416E+00  4.2521E-04
 -3.0925E+00  3.5064E-04
 -3.0434E+00  3.2892E-04
 -2.9943E+00  3.0781E-04
 -2.9452E+00  3.0026E-04
 -2.8962E+00  3.0076E-04
 -2.8471E+00  2.8634E-04
 -2.7980E+00  2.8905E-04
 -2.7489E+00  2.8870E-04
 -2.6998E+00  2.7717E-04
 -2.6507E+00  2.5780E-04
 -2.6016E+00  2.4094E-04
 -2.5525E+00  2.2328E-04
 -2.5035E+00  2.1016E-04
 -2.4544E+00  1.9749E-04
 -2.4053E+00  1.8720E-04
 -2.3562E+00  1.7641E-04
 -2.3071E+00  1.6201E-04
 -2.2580E+00  1.5585E-04
 -2.2089E+00  1.5884E-04
 -2.1598E+00  1.7088E-04
 -2.1108E+00  1.8943E-04
 -2.0617E+00  2.2070E-04
 -2.0126E+00  2.6235E-04
 -1.9635E+00  3.2460E-04
 -1.9144E+00  3.9462E-04
 -1.8653E+00  4.6825E-04
 -1.8162E+00  5.5076E-04
 -1.7671E+00  5.6231E-04
 -1.7181E+00  5.3092E-04
 -1.6690E+00  4.4383E-04
 -1.6199E+00  3.8894E-04
 -1.5708E+00  3.3920E-04
 -1.5217E+00  3.0613E-04
 -1.4726E+00  2.8231E-04
 -1.4235E+00  2.4830E-04
 -1.3744E+00  2.2479E-04
 -1.3254E+00  2.0019E-04
 -1.2763E+00  1.8552E-04
 -1.2272E+00  1.6866E-04
 -1.1781E+00  1.5326E-04
 -1.1290E+00  1.4658E-04
 -1.0799E+00  1.3798E-04
 -1.0308E+00  1.3061E-04
 -9.8175E-01  1.2488E-04
 -9.3266E-01  1.2070E-04
 -8.8357E-01  1.2408E-04
 -8.3449E-01  1.2685E-04
 -7.8540E-01  1.3041E-04
 -7.3631E-01  1.4436E-04
 -6.8722E-01  1.6532E-04
 -6.3814E-01  1.8468E-04
 -5.8905E-01  2.2696E-04
 -5.3996E-01  2.6994E-04
 -4.9087E-01  3.2932E-04
 -4.4179E-01  4.0030E-04
 -3.9270E-01  4.8873E-04
 -3.4361E-01  5.9463E-04
 -2.9452E-01  7.0270E-04
 -2.4544E-01  8.2180E-04
 -1.9635E-01  9.7233E-04
 -1.4726E-01  1.1185E-03
 -9.8175E-02  1.1783E-03
 -4.9087E-02  1.2603E-03
  0.0000E+00  1.3078E-03
  4.9087E-02  1.3282E-03
  9.8175E-02  1.2158E-03
  1.4726E-01  1.0933E-03
  1.9635E-01  9.5889E-04
  2.4544E-01  8.3317E-04
  2.9452E-01  6.9562E-04
  3.4361E-01  5.7023E-04
  3.9270E-01  4.8567E-04
  4.4179E-01  4.0339E-04
  4.9087E-01  3.3013E-04
  5.3996E-01  2.7218E-04
  5.8905E-01  2.2437E-04
  6.3814E-01  1.9340E-04
  6.8722E-01  1.6232E-04
  7.3631E-01  1.4869E-04
  7.8540E-01  1.3900E-04
  8.3449E-01  1.3005E-04
  8.8357E-01  1.2863E-04
  9.3266E-01  1.2826E-04
  9.8175E-01  1.2881E-04
  1.0308E+00  1.3516E-04
  1.0799E+00  1.3647E-04
  1.1290E+00  1.3780E-04
  1.1781E+00  1.4911E-04
  1.2272E+00  1.6342E-04
  1.2763E+00  1.8614E-04
  1.3254E+00  1.9885E-04
  1.3744E+00  2.1999E-04
  1.4235E+00  2.4713E-04
  1.4726E+00  2.7525E-04
  1.5217E+00  3.0256E-04
  1.5708E+00  3.3732E-04
  1.6199E+00  3.8091E-04
  1.6690E+00  4.4213E-04
  1.7181E+00  5.2059E-04
  1.7671E+00  5.7397E-04
  1.8162E+00  5.6024E-04
  1.8653E+00  4.9469E-04
  1.9144E+00  3.9181E-04
  1.9635E+00  3.2135E-04
  2.0126E+00  2.7116E-04
  2.0617E+00  2.2982E-04
  2.1108E+00  1.9498E-04
  2.1598E+00  1.7537E-04
  2.2089E+00  1.6520E-04
  2.2580E+00  1.5933E-04
  2.3071E+00  1.5772E-04
  2.3562E+00  1.6331E-04
  2.4053E+00  1.7531E-04
  2.4544E+00  1.9143E-04
  2.5035E+00  2.0976E-04
  2.5525E+00  2.4096E-04
  2.6016E+00  2.5805E-04
  2.6507E+00  2.5999E-04
  2.6998E+00  2.7473E-04
  2.7489E+00  2.8257E-04
  2.7980E+00  2.9336E-04
  2.8471E+00  2.9542E-04
  2.8962E+00  2.9489E-04
  2.9452E+00  2.9735E-04
  2.9943E+00  3.1196E-04
  3.0434E+00  3.1921E-04
  3.0925E+00  3.8455E-04
